cluster,cluster_label,size,top_terms,example_1,example_2
0,Industrial capacity / advanced manufacturing (broad bucket),70,"workforce, program, materials, manufacturing, semiconductor, development, research, supply, initiative, systems, industrial, workforce development",Recovery Act - Electric Drive Vehicle Battery and Component Manufacturing Initiative,Industrial Technologies Program Superior Energy Performance Program Administrator Technical Assistance
1,Solid-state lighting manufacturing R&D (DOE manufacturing rounds),3,"lighting, state lighting, solid state, solid, lighting manufacturing, state, round, development round, manufacturing research, manufacturing, development, research",Solid-State Lighting U.S. Manufacturing - Round 2,Solid State Lighting Manufacturing Research and Development - Round 3
2,CHIPS Incentives Program (fabrication + materials/equipment facilities),2,"incentives program, incentives, program ndash, chips incentives, facilities, ndash, chips, program, semiconductor, materials, manufacturing, quality",CHIPS Incentives Program &ndash; Commercial Fabrication Facilities,CHIPS Incentives Program &ndash; Facilities for Semiconductor Materials and Manufacturing Equipment
3,Apprenticeship expansion (state workforce pipeline),3,"formula, expansion formula, apprenticeship expansion, state apprenticeship, apprenticeship, expansion, state, round, program ndash, programs, public, public health",State Apprenticeship Expansion Formula,State Apprenticeship Expansion Formula
4,Advanced manufacturing + power semiconductors (SiC packaging / general AM),2,"advanced, manufacturing, act, photonics magnetic, program, program ndash, programs, public, public health, quality, quality initiative, recovery",SILICON CARBIDE ADVANCED PACKAGING OF POWER SEMICONDUCTORS II,Advanced Manufacturing
5,"Semiconductor / CHIPS technology protection (security, safeguarding, partner capabilities)",2,"chips technology, semiconductor chips, technology, chips, semiconductor, fy24, program, program ndash, programs, public, act, photonics magnetic",FY24 Protecting Semiconductor and CHIPS Technology,Build Partner Capabilities to Protect Semiconductor and CHIPS Technology
